Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR160121_1	0.0	0.0
ERR160121_1_val_1	0.0	0.0
ERR160121_2	0.0	0.0
ERR160121_2_val_2	0.0	0.0
ERR160122_1	0.0	0.0
ERR160122_1_val_1	0.0	0.0
ERR160122_2	0.0	0.0
ERR160122_2_val_2	0.0	0.0
ERR160123_1	0.0	0.0
ERR160123_1_val_1	0.0	0.0
ERR160123_2	0.0	0.0
ERR160123_2_val_2	0.0	0.0
ERR160124_1	0.0	0.0
ERR160124_1_val_1	0.0	0.0
ERR160124_2	0.0	0.0
ERR160124_2_val_2	0.0	0.0
ERR160125_1	0.0	0.0
ERR160125_1_val_1	0.0	0.0
ERR160125_2	0.0	0.0
ERR160125_2_val_2	0.0	0.0
ERR160126_1	0.0	0.0
ERR160126_1_val_1	0.0	0.0
ERR160126_2	0.0	0.0
ERR160126_2_val_2	0.0	0.0
ERR160127_1	0.0	0.0
ERR160127_1_val_1	0.0	0.0
ERR160127_2	0.0	0.0
ERR160127_2_val_2	0.0	0.0
ERR160128_1	0.0	0.0
ERR160128_1_val_1	0.0	0.0
ERR160128_2	0.0	0.0
ERR160128_2_val_2	0.0	0.0
ERR160129_1	0.0	0.0
ERR160129_1_val_1	0.0	0.0
ERR160129_2	0.0	0.0
ERR160129_2_val_2	0.0	0.0
ERR160130_1	0.0	0.0
ERR160130_1_val_1	0.0	0.0
ERR160130_2	0.0	0.0
ERR160130_2_val_2	0.0	0.0
ERR160131_1	0.0	0.0
ERR160131_1_val_1	0.0	0.0
ERR160131_2	0.0	0.0
ERR160131_2_val_2	0.0	0.0
ERR160132_1	0.0	0.0
ERR160132_1_val_1	0.0	0.0
ERR160132_2	0.0	0.0
ERR160132_2_val_2	0.0	0.0
ERR160133_1	0.0	0.0
ERR160133_1_val_1	0.0	0.0
ERR160133_2	0.0	0.0
ERR160133_2_val_2	0.0	0.0
ERR160134_1	0.0	0.0
ERR160134_1_val_1	0.0	0.0
ERR160134_2	0.0	0.0
ERR160134_2_val_2	0.0	0.0
ERR160135_1	0.0	0.0
ERR160135_1_val_1	0.0	0.0
ERR160135_2	0.0	0.0
ERR160135_2_val_2	0.0	0.0
ERR160136_1	0.0	0.0
ERR160136_1_val_1	0.0	0.0
ERR160136_2	0.0	0.0
ERR160136_2_val_2	0.0	0.0
ERR160137_1	0.0	0.0
ERR160137_1_val_1	0.0	0.0
ERR160137_2	0.0	0.0
ERR160137_2_val_2	0.0	0.0
ERR160138_1	0.0	0.0
ERR160138_1_val_1	0.0	0.0
ERR160138_2	0.0	0.0
ERR160138_2_val_2	0.0	0.0
ERR160139_1	0.0	0.0
ERR160139_1_val_1	0.0	0.0
ERR160139_2	0.0	0.0
ERR160139_2_val_2	0.0	0.0
ERR160140_1	0.0	0.0
ERR160140_1_val_1	0.0	0.0
ERR160140_2	0.0	0.0
ERR160140_2_val_2	0.0	0.0
ERR160141_1	0.0	0.0
ERR160141_1_val_1	0.0	0.0
ERR160141_2	0.0	0.0
ERR160141_2_val_2	0.0	0.0
ERR160142_1	0.0	0.0
ERR160142_1_val_1	0.0	0.0
ERR160142_2	0.0	0.0
ERR160142_2_val_2	0.0	0.0
ERR160143_1	0.0	0.0
ERR160143_1_val_1	0.0	0.0
ERR160143_2	0.0	0.0
ERR160143_2_val_2	0.0	0.0
ERR160144_1	0.0	0.0
ERR160144_1_val_1	0.0	0.0
ERR160144_2	0.0	0.0
ERR160144_2_val_2	0.0	0.0
ERR160145_1	0.0	0.0
ERR160145_1_val_1	0.0	0.0
ERR160145_2	0.0	0.0
ERR160145_2_val_2	0.0	0.0
ERR160146_1	0.0	0.0
ERR160146_1_val_1	0.0	0.0
ERR160146_2	0.0	0.0
ERR160146_2_val_2	0.0	0.0
ERR160147_1	0.0	0.0
ERR160147_1_val_1	0.0	0.0
ERR160147_2	0.0	0.0
ERR160147_2_val_2	0.0	0.0
ERR160148_1	0.0	0.0
ERR160148_1_val_1	0.0	0.0
ERR160148_2	0.0	0.0
ERR160148_2_val_2	0.0	0.0
ERR160149_1	0.15851453573288946	0.0
ERR160149_1_val_1	0.0	0.0
ERR160149_2	0.1551801573688554	0.0
ERR160149_2_val_2	0.0	0.0
ERR160150_1	0.17782798504430974	0.0
ERR160150_1_val_1	0.0	0.0
ERR160150_2	0.0	0.0
ERR160150_2_val_2	0.0	0.0
ERR160151_1	0.0	0.0
ERR160151_1_val_1	0.0	0.0
ERR160151_2	0.0	0.0
ERR160151_2_val_2	0.0	0.0
ERR160152_1	0.10640377665957082	0.0
ERR160152_1_val_1	0.0	0.0
ERR160152_2	0.0	0.0
ERR160152_2_val_2	0.0	0.0
ERR160153_1	0.1318325058662384	0.0
ERR160153_1_val_1	0.0	0.0
ERR160153_2	0.0	0.0
ERR160153_2_val_2	0.0	0.0
ERR160154_1	0.0	0.0
ERR160154_1_val_1	0.0	0.0
ERR160154_2	0.0	0.0
ERR160154_2_val_2	0.0	0.0
ERR160155_1	0.0	0.0
ERR160155_1_val_1	0.0	0.0
ERR160155_2	0.0	0.0
ERR160155_2_val_2	0.0	0.0
ERR160156_1	0.15628826580524774	0.14137875392358468
ERR160156_1_val_1	0.0	0.0
ERR160156_2	0.12051598958312723	0.0
ERR160156_2_val_2	0.0	0.0
ERR160157_1	0.23813283406250843	0.1746579887616546
ERR160157_1_val_1	0.0	0.0
ERR160157_2	0.15320351005725613	0.0
ERR160157_2_val_2	0.0	0.0
ERR160158_1	0.16586554866327338	0.0
ERR160158_1_val_1	0.0	0.0
ERR160158_2	0.0	0.0
ERR160158_2_val_2	0.0	0.0
ERR160159_1	0.21666167321421834	0.12831414868857496
ERR160159_1_val_1	0.0	0.0
ERR160159_2	0.10109959528804334	0.0
ERR160159_2_val_2	0.0	0.0
ERR160160_1	0.0	0.0
ERR160160_1_val_1	0.0	0.0
ERR160160_2	0.0	0.0
ERR160160_2_val_2	0.0	0.0
ERR160161_1	0.6790978156833656	0.5443826078698566
ERR160161_1_val_1	0.0	0.0
ERR160161_2	0.5564282862120431	0.2291234640330908
ERR160161_2_val_2	0.0	0.0
ERR160162_1	0.0	0.0
ERR160162_1_val_1	0.0	0.0
ERR160162_2	0.0	0.0
ERR160162_2_val_2	0.0	0.0
ERR160163_1	0.1151861114589086	0.0
ERR160163_1_val_1	0.0	0.0
ERR160163_2	0.10088724745653066	0.0
ERR160163_2_val_2	0.0	0.0
ERR160164_1	0.0	0.0
ERR160164_1_val_1	0.0	0.0
ERR160164_2	0.0	0.0
ERR160164_2_val_2	0.0	0.0
ERR160165_1	0.11675630013748585	0.0
ERR160165_1_val_1	0.0	0.0
ERR160165_2	0.10749397356180465	0.0
ERR160165_2_val_2	0.0	0.0
ERR160166_1	0.0	0.0
ERR160166_1_val_1	0.0	0.0
ERR160166_2	0.0	0.0
ERR160166_2_val_2	0.0	0.0
ERR160167_1	0.0	0.0
ERR160167_1_val_1	0.0	0.0
ERR160167_2	0.0	0.0
ERR160167_2_val_2	0.0	0.0
ERR160168_1	0.31499340151998795	0.1776192969558421
ERR160168_1_val_1	0.0	0.0
ERR160168_2	0.1376994242418884	0.11495852934937062
ERR160168_2_val_2	0.0	0.0
ERR160169_1	0.15402588797377492	0.12601751895571545
ERR160169_1_val_1	0.0	0.0
ERR160169_2	0.1063592924166377	0.0
ERR160169_2_val_2	0.0	0.0
ERR160170_1	0.0	0.0
ERR160170_1_val_1	0.0	0.0
ERR160170_2	0.0	0.0
ERR160170_2_val_2	0.0	0.0
ERR160171_1	0.2012067037093687	0.0
ERR160171_1_val_1	0.0	0.0
ERR160171_2	0.0	0.0
ERR160171_2_val_2	0.0	0.0
ERR160172_1	0.0	0.0
ERR160172_1_val_1	0.0	0.0
ERR160172_2	0.0	0.0
ERR160172_2_val_2	0.0	0.0
ERR160173_1	0.10516271128365802	0.0
ERR160173_1_val_1	0.0	0.0
ERR160173_2	0.0	0.0
ERR160173_2_val_2	0.0	0.0
ERR160174_1	0.0	0.0
ERR160174_1_val_1	0.0	0.0
ERR160174_2	0.0	0.0
ERR160174_2_val_2	0.0	0.0
ERR160175_1	0.0	0.0
ERR160175_1_val_1	0.0	0.0
ERR160175_2	0.0	0.0
ERR160175_2_val_2	0.0	0.0
ERR160176_1	0.0	0.0
ERR160176_1_val_1	0.0	0.0
ERR160176_2	0.0	0.0
ERR160176_2_val_2	0.0	0.0
ERR160177_1	0.0	0.0
ERR160177_1_val_1	0.0	0.0
ERR160177_2	0.0	0.0
ERR160177_2_val_2	0.0	0.0
ERR160178_1	0.0	0.0
ERR160178_1_val_1	0.0	0.0
ERR160178_2	0.0	0.0
ERR160178_2_val_2	0.0	0.0
ERR160179_1	0.0	0.0
ERR160179_1_val_1	0.0	0.0
ERR160179_2	0.0	0.0
ERR160179_2_val_2	0.0	0.0
ERR160180_1	1.2678284932196404	0.6394450287524247
ERR160180_1_val_1	0.0	0.0
ERR160180_2	0.5740493324255378	0.3146347042936475
ERR160180_2_val_2	0.0	0.0
ERR160181_1	0.0	0.0
ERR160181_1_val_1	0.0	0.0
ERR160181_2	0.0	0.0
ERR160181_2_val_2	0.0	0.0
ERR160182_1	0.37568533979927804	0.1501172807356302
ERR160182_1_val_1	0.0	0.0
ERR160182_2	0.15769098177720586	0.14706604668033174
ERR160182_2_val_2	0.0	0.0
ERR160183_1	0.14042421235119293	0.0
ERR160183_1_val_1	0.0	0.0
ERR160183_2	0.0	0.0
ERR160183_2_val_2	0.0	0.0
ERR160184_1	0.2908599139472451	0.0
ERR160184_1_val_1	0.0	0.0
ERR160184_2	0.0	0.0
ERR160184_2_val_2	0.0	0.0
ERR160185_1	0.2277786695541056	0.11293872306471972
ERR160185_1_val_1	0.0	0.0
ERR160185_2	0.1089446409630337	0.0
ERR160185_2_val_2	0.0	0.0
ERR160186_1	0.3157087132191988	0.24104163560716674
ERR160186_1_val_1	0.0	0.0
ERR160186_2	0.30059461684833616	0.0
ERR160186_2_val_2	0.0	0.0
ERR160187_1	0.345489953376146	0.21935268948697
ERR160187_1_val_1	0.0	0.0
ERR160187_2	0.20606103273006846	0.1007645403182014
ERR160187_2_val_2	0.0	0.0
ERR160188_1	0.11036661517190097	0.0
ERR160188_1_val_1	0.0	0.0
ERR160188_2	0.0	0.0
ERR160188_2_val_2	0.0	0.0
ERR160189_1	0.0	0.0
ERR160189_1_val_1	0.0	0.0
ERR160189_2	0.0	0.0
ERR160189_2_val_2	0.0	0.0
