Sample	Unique Reads	Duplicate Reads
ERR160121_1	31244423.0	8513082.0
ERR160121_1_val_1	28031936.0	7806862.0
ERR160121_2	32480414.0	7277091.0
ERR160121_2_val_2	28923302.0	6915496.0
ERR160122_1	19006820.0	5275586.0
ERR160122_1_val_1	17197477.0	4849034.0
ERR160122_2	20191688.0	4090718.0
ERR160122_2_val_2	18082455.0	3964056.0
ERR160123_1	24521859.0	6872999.0
ERR160123_1_val_1	22081915.0	6321081.0
ERR160123_2	25978799.0	5416059.0
ERR160123_2_val_2	23180744.0	5222252.0
ERR160124_1	33061626.0	9315127.0
ERR160124_1_val_1	29958289.0	8567196.0
ERR160124_2	34321284.0	8055469.0
ERR160124_2_val_2	30886815.0	7638670.0
ERR160125_1	35809345.0	9784954.0
ERR160125_1_val_1	32274192.0	9007294.0
ERR160125_2	37327266.0	8267033.0
ERR160125_2_val_2	33415623.0	7865863.0
ERR160126_1	25062830.0	7040589.0
ERR160126_1_val_1	22628045.0	6458158.0
ERR160126_2	26461274.0	5642145.0
ERR160126_2_val_2	23632923.0	5453280.0
ERR160127_1	20542372.0	5368784.0
ERR160127_1_val_1	18577815.0	4957654.0
ERR160127_2	21409308.0	4501848.0
ERR160127_2_val_2	19238274.0	4297195.0
ERR160128_1	22148582.0	5661468.0
ERR160128_1_val_1	19771936.0	5185882.0
ERR160128_2	23037510.0	4772540.0
ERR160128_2_val_2	20405779.0	4552039.0
ERR160129_1	19918121.0	5177788.0
ERR160129_1_val_1	17865860.0	4758547.0
ERR160129_2	20800227.0	4295682.0
ERR160129_2_val_2	18510105.0	4114302.0
ERR160130_1	30146989.0	8320491.0
ERR160130_1_val_1	27292581.0	7618767.0
ERR160130_2	31397367.0	7070113.0
ERR160130_2_val_2	28163821.0	6747527.0
ERR160131_1	23430133.0	5514292.0
ERR160131_1_val_1	20434218.0	4774672.0
ERR160131_2	25685337.0	3259088.0
ERR160131_2_val_2	21762920.0	3445970.0
ERR160132_1	34385035.0	9765610.0
ERR160132_1_val_1	31425234.0	9040957.0
ERR160132_2	35651554.0	8499091.0
ERR160132_2_val_2	32321983.0	8144208.0
ERR160133_1	26160841.0	6898287.0
ERR160133_1_val_1	23224770.0	6301133.0
ERR160133_2	27272519.0	5786609.0
ERR160133_2_val_2	24046728.0	5479175.0
ERR160134_1	39105277.0	11166833.0
ERR160134_1_val_1	35187923.0	10201770.0
ERR160134_2	40721581.0	9550529.0
ERR160134_2_val_2	36290414.0	9099279.0
ERR160135_1	21711348.0	7857534.0
ERR160135_1_val_1	19718524.0	7356318.0
ERR160135_2	22687633.0	6881249.0
ERR160135_2_val_2	20419688.0	6655154.0
ERR160136_1	25750985.0	8324590.0
ERR160136_1_val_1	23501270.0	7782659.0
ERR160136_2	26694961.0	7380614.0
ERR160136_2_val_2	24160855.0	7123074.0
ERR160137_1	33231642.0	11920754.0
ERR160137_1_val_1	30556232.0	11132905.0
ERR160137_2	34784202.0	10368194.0
ERR160137_2_val_2	31645452.0	10043685.0
ERR160138_1	23796952.0	7787234.0
ERR160138_1_val_1	21848655.0	7272432.0
ERR160138_2	24782489.0	6801697.0
ERR160138_2_val_2	22535584.0	6585503.0
ERR160139_1	17777973.0	5790352.0
ERR160139_1_val_1	16144384.0	5384865.0
ERR160139_2	18577117.0	4991208.0
ERR160139_2_val_2	16707312.0	4821937.0
ERR160140_1	26962919.0	10295344.0
ERR160140_1_val_1	24789315.0	9634285.0
ERR160140_2	28304015.0	8954248.0
ERR160140_2_val_2	25750096.0	8673504.0
ERR160141_1	23013764.0	5045163.0
ERR160141_1_val_1	20839169.0	4670384.0
ERR160141_2	24432658.0	3626269.0
ERR160141_2_val_2	22052403.0	3457150.0
ERR160142_1	21494570.0	4886656.0
ERR160142_1_val_1	19412640.0	4533774.0
ERR160142_2	22718427.0	3662799.0
ERR160142_2_val_2	20448553.0	3497861.0
ERR160143_1	24186406.0	5682011.0
ERR160143_1_val_1	21623171.0	5266336.0
ERR160143_2	25598394.0	4270023.0
ERR160143_2_val_2	22830479.0	4059028.0
ERR160144_1	25133895.0	6272884.0
ERR160144_1_val_1	22466849.0	5803125.0
ERR160144_2	26932696.0	4474083.0
ERR160144_2_val_2	23961276.0	4308698.0
ERR160145_1	30907007.0	7174237.0
ERR160145_1_val_1	27781020.0	6650351.0
ERR160145_2	32713994.0	5367250.0
ERR160145_2_val_2	29323901.0	5107470.0
ERR160146_1	24352311.0	5453956.0
ERR160146_1_val_1	21991296.0	5058123.0
ERR160146_2	25725470.0	4080797.0
ERR160146_2_val_2	23153497.0	3895922.0
ERR160147_1	16905094.0	3624656.0
ERR160147_1_val_1	16886936.0	3640373.0
ERR160147_2	17820812.0	2708938.0
ERR160147_2_val_2	17813124.0	2714185.0
ERR160148_1	21493029.0	5446227.0
ERR160148_1_val_1	19795109.0	5183514.0
ERR160148_2	21857096.0	5082160.0
ERR160148_2_val_2	20236935.0	4741688.0
ERR160149_1	18481048.0	4701684.0
ERR160149_1_val_1	17011794.0	4438824.0
ERR160149_2	18864243.0	4318489.0
ERR160149_2_val_2	17467565.0	3983053.0
ERR160150_1	17015576.0	4682921.0
ERR160150_1_val_1	15639081.0	4401670.0
ERR160150_2	17335976.0	4362521.0
ERR160150_2_val_2	15997338.0	4043413.0
ERR160151_1	18229256.0	4548027.0
ERR160151_1_val_1	16634641.0	4314094.0
ERR160151_2	18519282.0	4258001.0
ERR160151_2_val_2	17000154.0	3948581.0
ERR160152_1	15124816.0	4000445.0
ERR160152_1_val_1	13745711.0	3790021.0
ERR160152_2	15460834.0	3664427.0
ERR160152_2_val_2	14122551.0	3413181.0
ERR160153_1	21454892.0	6457799.0
ERR160153_1_val_1	20285653.0	6218877.0
ERR160153_2	21621248.0	6291443.0
ERR160153_2_val_2	20498145.0	6006385.0
ERR160154_1	17808291.0	4936391.0
ERR160154_1_val_1	16811161.0	4797710.0
ERR160154_2	17929642.0	4815040.0
ERR160154_2_val_2	17008010.0	4600861.0
ERR160155_1	15027166.0	3860802.0
ERR160155_1_val_1	14160230.0	3751819.0
ERR160155_2	15092220.0	3795748.0
ERR160155_2_val_2	14283957.0	3628092.0
ERR160156_1	17885473.0	4858397.0
ERR160156_1_val_1	16693848.0	4660084.0
ERR160156_2	18071741.0	4672129.0
ERR160156_2_val_2	16926427.0	4427505.0
ERR160157_1	16326904.0	4717653.0
ERR160157_1_val_1	15240657.0	4496689.0
ERR160157_2	16480774.0	4563783.0
ERR160157_2_val_2	15433244.0	4304102.0
ERR160158_1	16187090.0	4532704.0
ERR160158_1_val_1	15172375.0	4364759.0
ERR160158_2	16368654.0	4351140.0
ERR160158_2_val_2	15394970.0	4142164.0
ERR160159_1	16564617.0	4482945.0
ERR160159_1_val_1	15659680.0	4221067.0
ERR160159_2	16898901.0	4148661.0
ERR160159_2_val_2	15967722.0	3913025.0
ERR160160_1	14073492.0	3092385.0
ERR160160_1_val_1	13178197.0	2950788.0
ERR160160_2	14295085.0	2870792.0
ERR160160_2_val_2	13405999.0	2722986.0
ERR160161_1	11976389.0	2892014.0
ERR160161_1_val_1	11098785.0	2560528.0
ERR160161_2	12252029.0	2616374.0
ERR160161_2_val_2	11320068.0	2339245.0
ERR160162_1	20905875.0	5052131.0
ERR160162_1_val_1	19783211.0	4844738.0
ERR160162_2	21267466.0	4690540.0
ERR160162_2_val_2	20151802.0	4476147.0
ERR160163_1	21507947.0	5655050.0
ERR160163_1_val_1	20375002.0	5392372.0
ERR160163_2	22006174.0	5156823.0
ERR160163_2_val_2	20864360.0	4903014.0
ERR160164_1	23747604.0	6744351.0
ERR160164_1_val_1	22442058.0	6450449.0
ERR160164_2	24271120.0	6220835.0
ERR160164_2_val_2	22953719.0	5938788.0
ERR160165_1	17903804.0	4455589.0
ERR160165_1_val_1	16807148.0	4236398.0
ERR160165_2	18245368.0	4114025.0
ERR160165_2_val_2	17138527.0	3905019.0
ERR160166_1	10512511.0	2308136.0
ERR160166_1_val_1	9976143.0	2222486.0
ERR160166_2	10703636.0	2117011.0
ERR160166_2_val_2	10173115.0	2025514.0
ERR160167_1	20227835.0	5250262.0
ERR160167_1_val_1	19061176.0	5070868.0
ERR160167_2	20756732.0	4721365.0
ERR160167_2_val_2	19604945.0	4527099.0
ERR160168_1	15089052.0	3969125.0
ERR160168_1_val_1	14185669.0	3755784.0
ERR160168_2	15416077.0	3642100.0
ERR160168_2_val_2	14515333.0	3426120.0
ERR160169_1	14114086.0	3262863.0
ERR160169_1_val_1	13261123.0	3110046.0
ERR160169_2	14389808.0	2987141.0
ERR160169_2_val_2	13548559.0	2822610.0
ERR160170_1	20244629.0	4653657.0
ERR160170_1_val_1	19024899.0	4517414.0
ERR160170_2	20581143.0	4317143.0
ERR160170_2_val_2	19432074.0	4110239.0
ERR160171_1	16876585.0	3998962.0
ERR160171_1_val_1	15603498.0	3802295.0
ERR160171_2	17263575.0	3611972.0
ERR160171_2_val_2	15977192.0	3428601.0
ERR160172_1	22766519.0	5523637.0
ERR160172_1_val_1	21156127.0	5332662.0
ERR160172_2	23234981.0	5055175.0
ERR160172_2_val_2	21659179.0	4829610.0
ERR160173_1	16962549.0	10588091.0
ERR160173_1_val_1	13808789.0	9014958.0
ERR160173_2	18446070.0	9104570.0
ERR160173_2_val_2	15049623.0	7774124.0
ERR160174_1	22782905.0	13487242.0
ERR160174_1_val_1	18113813.0	11268464.0
ERR160174_2	24903960.0	11366187.0
ERR160174_2_val_2	19833204.0	9549073.0
ERR160175_1	29131615.0	17890184.0
ERR160175_1_val_1	23137073.0	14946822.0
ERR160175_2	31902803.0	15118996.0
ERR160175_2_val_2	25364700.0	12719195.0
ERR160176_1	18744828.0	11426585.0
ERR160176_1_val_1	14320630.0	9270080.0
ERR160176_2	20516027.0	9655386.0
ERR160176_2_val_2	15655544.0	7935166.0
ERR160177_1	25011541.0	14266990.0
ERR160177_1_val_1	19831989.0	11853205.0
ERR160177_2	27230982.0	12047549.0
ERR160177_2_val_2	21560638.0	10124556.0
ERR160178_1	27408901.0	17284315.0
ERR160178_1_val_1	22105189.0	14655536.0
ERR160178_2	29946399.0	14746817.0
ERR160178_2_val_2	24161078.0	12599647.0
ERR160179_1	24186713.0	14417200.0
ERR160179_1_val_1	19164404.0	12025413.0
ERR160179_2	26436463.0	12167450.0
ERR160179_2_val_2	20938217.0	10251600.0
ERR160180_1	24507599.0	10821943.0
ERR160180_1_val_1	21222694.0	10302538.0
ERR160180_2	24636279.0	10693263.0
ERR160180_2_val_2	21848454.0	9676778.0
ERR160181_1	20461617.0	5526527.0
ERR160181_1_val_1	18408415.0	5771995.0
ERR160181_2	20353696.0	5634448.0
ERR160181_2_val_2	18902137.0	5278273.0
ERR160182_1	14199577.0	3268765.0
ERR160182_1_val_1	12014203.0	3381355.0
ERR160182_2	14167850.0	3300492.0
ERR160182_2_val_2	12326996.0	3068562.0
ERR160183_1	19706649.0	4601837.0
ERR160183_1_val_1	17484405.0	4787179.0
ERR160183_2	19643995.0	4664491.0
ERR160183_2_val_2	17905850.0	4365734.0
ERR160184_1	16491233.0	3978071.0
ERR160184_1_val_1	14468906.0	4116005.0
ERR160184_2	16438361.0	4030943.0
ERR160184_2_val_2	14815712.0	3769199.0
ERR160185_1	16121121.0	3708216.0
ERR160185_1_val_1	14322286.0	3845696.0
ERR160185_2	16055212.0	3774125.0
ERR160185_2_val_2	14657385.0	3510597.0
ERR160186_1	16251930.0	4668937.0
ERR160186_1_val_1	14451651.0	4771512.0
ERR160186_2	16193343.0	4727524.0
ERR160186_2_val_2	14868861.0	4354302.0
ERR160187_1	13141297.0	2966552.0
ERR160187_1_val_1	11546124.0	2883786.0
ERR160187_2	13091046.0	3016803.0
ERR160187_2_val_2	11647884.0	2782026.0
ERR160188_1	17479177.0	5307605.0
ERR160188_1_val_1	15793718.0	5254600.0
ERR160188_2	17269367.0	5517415.0
ERR160188_2_val_2	15878166.0	5170152.0
ERR160189_1	18117935.0	4555292.0
ERR160189_1_val_1	16659549.0	4560957.0
ERR160189_2	17968398.0	4704829.0
