Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR160121_1	ERR160121_1.fastq	Conventional base calls	Sanger / Illumina 1.9	39757505.0	4 Gbp	0.0	101.0	42.0	78.58748373478086	101.0	101	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
ERR160121_1_val_1	ERR160121_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	35838798.0	3.2 Gbp	0.0	25-96	42.0	78.21672940182918	91.26892587190005	94	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
ERR160121_2	ERR160121_2.fastq	Conventional base calls	Sanger / Illumina 1.9	39757505.0	4 Gbp	0.0	101.0	43.0	81.69630697379378	101.0	101	pass	fail	fail	pass	fail	pass	warn	pass	pass	pass	pass
ERR160121_2_val_2	ERR160121_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	35838798.0	3 Gbp	0.0	25-96	42.0	80.70388226786982	83.5402440673373	90	pass	pass	fail	pass	fail	pass	warn	warn	pass	pass	pass
ERR160122_1	ERR160122_1.fastq	Conventional base calls	Sanger / Illumina 1.9	24282406.0	2.4 Gbp	0.0	101.0	42.0	78.27403682566377	101.0	101	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
ERR160122_1_val_1	ERR160122_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	22046511.0	2 Gbp	0.0	25-96	42.0	78.00543504909015	91.59352860867645	94	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
ERR160122_2	ERR160122_2.fastq	Conventional base calls	Sanger / Illumina 1.9	24282406.0	2.4 Gbp	0.0	101.0	43.0	83.15357123098671	101.0	101	pass	fail	fail	pass	fail	pass	warn	pass	pass	pass	pass
ERR160122_2_val_2	ERR160122_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	22046511.0	1.8 Gbp	0.0	25-96	42.0	82.0195752934257	83.04817183997957	90	pass	pass	fail	pass	fail	pass	warn	warn	pass	pass	pass
ERR160123_1	ERR160123_1.fastq	Conventional base calls	Sanger / Illumina 1.9	31394858.0	3.1 Gbp	0.0	101.0	42.0	78.1078825178527	101.0	101	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
ERR160123_1_val_1	ERR160123_1_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	28402996.0	2.6 Gbp	0.0	25-96	42.0	77.74501742587043	91.3839449190501	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
ERR160123_2	ERR160123_2.fastq	Conventional base calls	Sanger / Illumina 1.9	31394858.0	3.1 Gbp	0.0	101.0	42.0	82.74857671163188	101.0	101	pass	fail	fail	pass	warn	pass	warn	pass	pass	pass	pass
ERR160123_2_val_2	ERR160123_2_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	28402996.0	2.3 Gbp	0.0	25-96	42.0	81.61372735070546	83.15555880090959	90	pass	pass	fail	pass	fail	pass	warn	warn	pass	pass	pass
