Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR160121_1	21.41251626521914	42.0	101.0	101	9.090909090909092	39757505.0
ERR160121_1_val_1	21.783270598170816	42.0	91.26892587190005	94	9.090909090909092	35838798.0
ERR160121_2	18.30369302620622	43.0	101.0	101	27.27272727272727	39757505.0
ERR160121_2_val_2	19.296117732130185	42.0	83.5402440673373	90	18.181818181818183	35838798.0
ERR160122_1	21.72596317433623	42.0	101.0	101	0.0	24282406.0
ERR160122_1_val_1	21.994564950909847	42.0	91.59352860867645	94	9.090909090909092	22046511.0
ERR160122_2	16.846428769013286	43.0	101.0	101	27.27272727272727	24282406.0
ERR160122_2_val_2	17.980424706574297	42.0	83.04817183997957	90	18.181818181818183	22046511.0
ERR160123_1	21.8921174821473	42.0	101.0	101	9.090909090909092	31394858.0
ERR160123_1_val_1	22.25498257412957	42.0	91.3839449190501	94	9.090909090909092	28402996.0
ERR160123_2	17.251423288368116	42.0	101.0	101	18.181818181818183	31394858.0
ERR160123_2_val_2	18.38627264929454	42.0	83.15555880090959	90	18.181818181818183	28402996.0
ERR160124_1	21.981692678563448	42.0	101.0	101	0.0	42376753.0
ERR160124_1_val_1	22.23773751964157	42.0	91.29265290235801	94	9.090909090909092	38525485.0
ERR160124_2	19.009171294140884	43.0	101.0	101	18.181818181818183	42376753.0
ERR160124_2_val_2	19.827578542766332	42.0	83.80576317209244	90	18.181818181818183	38525485.0
ERR160125_1	21.46091678995758	43.0	101.0	101	0.0	45594299.0
ERR160125_1_val_1	21.819210556771225	42.0	91.39569612392344	94	9.090909090909092	41281486.0
ERR160125_2	18.131725528035204	43.0	101.0	101	18.181818181818183	45594299.0
ERR160125_2_val_2	19.054216410754705	42.0	83.1777484948095	90	18.181818181818183	41281486.0
ERR160126_1	21.93096408881459	42.0	101.0	101	9.090909090909092	32103419.0
ERR160126_1_val_1	22.20351110095507	41.0	91.46877975100428	94	9.090909090909092	29086203.0
ERR160126_2	17.574904829668085	42.0	101.0	101	27.27272727272727	32103419.0
ERR160126_2_val_2	18.748684439880464	41.0	83.37577943741918	90	18.181818181818183	29086203.0
ERR160127_1	20.719974489192538	42.0	101.0	101	9.090909090909092	25911156.0
ERR160127_1_val_1	21.06460865747303	42.0	91.39676009855593	94	9.090909090909092	23535469.0
ERR160127_2	17.37417138135868	42.0	101.0	101	27.27272727272727	25911156.0
ERR160127_2_val_2	18.258380781212878	42.0	83.71444962494692	90	18.181818181818183	23535469.0
ERR160128_1	20.35763455134689	42.0	101.0	101	9.090909090909092	27810050.0
ERR160128_1_val_1	20.778588158104114	41.0	91.27749060434691	94	9.090909090909092	24957818.0
ERR160128_2	17.161206802833192	42.0	101.0	101	27.27272727272727	27810050.0
ERR160128_2_val_2	18.238930598034102	41.0	82.0257758110104	86	18.181818181818183	24957818.0
ERR160129_1	20.63200285719762	41.0	101.0	101	9.090909090909092	25095909.0
